"Time (CET/CEST)","Germany (DE) > Norway (NO) [MW]","Norway (NO) > Germany (DE) [MW]"
"03.01.2021 10:00 - 03.01.2021 10:15","0","491"
"03.01.2021 10:15 - 03.01.2021 10:30","0","481"
"03.01.2021 10:30 - 03.01.2021 10:45","0","481"
"03.01.2021 10:45 - 03.01.2021 11:00","0","480"
"03.01.2021 11:00 - 03.01.2021 11:15","0","473"
"03.01.2021 11:15 - 03.01.2021 11:30","0","471"
"03.01.2021 11:30 - 03.01.2021 11:45","0","471"
"03.01.2021 11:45 - 03.01.2021 12:00","0","458"
"03.01.2021 12:00 - 03.01.2021 12:15","0","398"
"03.01.2021 12:15 - 03.01.2021 12:30","0","381"
"03.01.2021 12:30 - 03.01.2021 12:45","0","381"
"03.01.2021 12:45 - 03.01.2021 13:00","0","372"
"03.01.2021 13:00 - 03.01.2021 13:15","0","332"
"03.01.2021 13:15 - 03.01.2021 13:30","0","321"
"03.01.2021 13:30 - 03.01.2021 13:45","0","321"
"03.01.2021 13:45 - 03.01.2021 14:00","0","322"
"03.01.2021 14:00 - 03.01.2021 14:15","0","329"
"03.01.2021 14:15 - 03.01.2021 14:30","0","331"
"03.01.2021 14:30 - 03.01.2021 14:45","0","331"
"03.01.2021 14:45 - 03.01.2021 15:00","0","324"
"03.01.2021 15:00 - 03.01.2021 15:15","0","291"
"03.01.2021 15:15 - 03.01.2021 15:30","0","281"
"03.01.2021 15:30 - 03.01.2021 15:45","0","281"
"03.01.2021 15:45 - 03.01.2021 16:00","0","271"
"03.01.2021 16:00 - 03.01.2021 16:15","0","224"
"03.01.2021 16:15 - 03.01.2021 16:30","0","210"
"03.01.2021 16:30 - 03.01.2021 16:45","0","210"
"03.01.2021 16:45 - 03.01.2021 17:00","0","199"
"03.01.2021 17:00 - 03.01.2021 17:15","0","146"
"03.01.2021 17:15 - 03.01.2021 17:30","0","130"
"03.01.2021 17:30 - 03.01.2021 17:45","0","130"
"03.01.2021 17:45 - 03.01.2021 18:00","0","130"
"03.01.2021 18:00 - 03.01.2021 18:15","0","130"
"03.01.2021 18:15 - 03.01.2021 18:30","0","130"
"03.01.2021 18:30 - 03.01.2021 18:45","0","131"
"03.01.2021 18:45 - 03.01.2021 19:00","0","131"
