"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","04.01.2021 17:00 - 04.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1509","","1154","22830","n/e","n/e","0","39","n/e","23","n/e","905"
"Norway (NO)","04.01.2021 18:00 - 04.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1497","","1152","22402","n/e","n/e","0","35","n/e","24","n/e","984"
"Norway (NO)","04.01.2021 19:00 - 04.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","87","n/e","n/e","n/e","n/e","n/e","1570","","1148","22483","n/e","n/e","0","33","n/e","24","n/e","978"
"Norway (NO)","04.01.2021 20:00 - 04.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","94","n/e","n/e","n/e","n/e","n/e","1586","","1144","22261","n/e","n/e","0","32","n/e","24","n/e","923"
"Norway (NO)","04.01.2021 21:00 - 04.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","94","n/e","n/e","n/e","n/e","n/e","1438","","1141","21932","n/e","n/e","0","32","n/e","24","n/e","812"
"Norway (NO)","04.01.2021 22:00 - 04.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","94","n/e","n/e","n/e","n/e","n/e","1300","","1137","21091","n/e","n/e","0","35","n/e","24","n/e","801"
"Norway (NO)","04.01.2021 23:00 - 05.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","94","n/e","n/e","n/e","n/e","n/e","1202","","1142","19719","n/e","n/e","0","35","n/e","23","n/e","781"
"Norway (NO)","05.01.2021 00:00 - 05.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","92","n/e","n/e","n/e","n/e","n/e","1204","","1118","18760","n/e","n/e","0","35","n/e","21","n/e","698"
"Norway (NO)","05.01.2021 01:00 - 05.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","94","n/e","n/e","n/e","n/e","n/e","1208","","1119","18712","n/e","n/e","0","37","n/e","21","n/e","646"
"Norway (NO)","05.01.2021 02:00 - 05.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","93","n/e","n/e","n/e","n/e","n/e","1214","","1117","18419","n/e","n/e","0","35","n/e","19","n/e","601"
